Name,Address,Score,Reviews,Budget
TOKYO MERCATO,東京都文京区後楽1-3-61,3.06,11,"￥3,000～￥3,999"
トラットリア・イタリア 文京店,東京都文京区本駒込2-28-10,3.08,35,"￥3,000～￥3,999"
ラ・クローチェ,東京都文京区小日向4-7-10,3.15,55,"￥3,000～￥3,999"
ファンタジスタ,東京都文京区湯島3-40-11,3.51,97,"￥3,000～￥3,999"
ピッツェリア・カロッツェ,東京都文京区本郷3-23-5,3.06,4,"￥1,000～￥1,999"
青いナポリ　ブルーバー,東京都文京区小石川3-32-1,3.04,4,"￥2,000～￥2,999"
青いナポリ,東京都文京区小石川3-32-1,3.53,155,"￥4,000～￥4,999"
ドミノピザ 白山店,東京都文京区向丘1-12-2,3.01,4,"￥1,000～￥1,999"
８８ピザ部　湯島編,東京都文京区湯島3-45-2,-,1,"￥2,000～￥2,999"
アランジャルシ,東京都文京区湯島4-6-17,3.60,114,"￥3,000～￥3,999"
ピザーラ 文京店,東京都文京区白山3-3-5,3.02,3,-
ハクサン ピザ,東京都文京区白山2-37-4,3.05,10,"￥1,000～￥1,999"
無国籍バル KAIKYO 上野広小路店,東京都文京区湯島3-39-11,3.05,11,"￥3,000～￥3,999"
SPERANZA,東京都文京区音羽2-4-2,3.16,17,"￥3,000～￥3,999"
ピザハット 文京根津店,東京都文京区根津1-23-9,3.02,1,"￥1,000～￥1,999"
ピザーラエクスプレス 東京ドーム店,東京都文京区後楽1-3,3.03,4, ～￥999
トムズキッチン 千石店,東京都文京区本駒込6-2-2,3.05,15,"￥3,000～￥3,999"
ピエトロパスタ ミオミオ 東京ドーム店,東京都文京区後楽1-3-61,3.07,7, ～￥999
トリコローレ,東京都文京区関口1-48-6,3.00,4,-
ぼっかすか,東京都文京区西片1-15-4,3.02,10,"￥4,000～￥4,999"
ピッツキューブ,東京都文京区千石4-40-3,-,1,"￥1,000～￥1,999"
石窯ダイニング DAI,東京都文京区千駄木2-32-4,3.11,12,"￥4,000～￥4,999"
小石川テラス,東京都文京区水道1-3-3,3.00,5,"￥3,000～￥3,999"
ナポリの窯 文京店,東京都文京区本駒込1-27-9,3.02,2,"￥1,000～￥1,999"
ダ ジョルジョ,東京都文京区湯島3-37-14,3.59,104,"￥3,000～￥3,999"
ダ マウ ピッツァ アル フォルノ,東京都文京区本郷4-36-5,3.05,2,"￥2,000～￥2,999"
