Name,Address,Score,Reviews,Budget
XEX TOKYO / Salvatore Cuomo Bros.,東京都千代田区丸の内1-9-1,3.58,153,"￥8,000～￥9,999"
Pizzeria D.F Azzurro,東京都千代田区内神田2-7-2,3.03,7,"￥3,000～￥3,999"
CHEESE FAICAL 神田店,東京都千代田区神田鍛冶町3-3,3.24,17,"￥3,000～￥3,999"
ピッツェリア ダ チーボ 東京駅店,東京都千代田区丸の内1-9-1,3.10,70,"￥3,000～￥3,999"
デニーロ 神田店,東京都千代田区神田錦町3-14-3,3.28,27,"￥3,000～￥3,999"
イタリアンダイニングDoNa 有楽町イトシア店,東京都千代田区有楽町2-7-1,3.07,58,"￥1,000～￥1,999"
Di PUNTO 水道橋店,東京都千代田区三崎町2-19-4,-,1,"￥3,000～￥3,999"
オペレッタ ピザ アンド シーフード 丸の内トラストタワー店,東京都千代田区丸の内1-8-3,3.31,30,"￥4,000～￥4,999"
デリツィオーゾ フィレンツェ,東京都千代田区丸の内1-5-1,3.58,111,"￥5,000～￥5,999"
ボッソ,東京都千代田区丸の内1-4-1,3.07,31,"￥3,000～￥3,999"
イタリアンダイニングDona 日比谷店,東京都千代田区有楽町1-2-5,3.07,29,-
トラットリア チャオ,東京都千代田区有楽町2-1-13,3.06,5,"￥5,000～￥5,999"
ニユートーキヨー ビヤレストラン パレスサイドビル店,東京都千代田区一ツ橋1-1-1,3.06,18,"￥3,000～￥3,999"
Italian Barcafe KIMURAYA 飯田橋,東京都千代田区富士見2-9-11,3.24,45,"￥3,000～￥3,999"
PIZZAバル 88 神田店,東京都千代田区岩本町2-1-1,3.01,2,"￥2,000～￥2,999"
トラットリア・アリオリ 秋葉原UDX店,東京都千代田区外神田4-14-1,3.08,53,"￥3,000～￥3,999"
キオッチョラ・ピッツェリア,東京都千代田区外神田4-14-1,3.51,145,"￥3,000～￥3,999"
ラ・ベルデ 日比谷店,東京都千代田区内幸町2-2-2,3.07,60,"￥3,000～￥3,999"
ラ・ベルデ 大手町店,東京都千代田区大手町1-5-1,3.01,56,"￥3,000～￥3,999"
フィオーレ,東京都千代田区二番町3-11,3.18,40,-
ラ・マレンマ 大手町,東京都千代田区大手町1-5-1,3.17,76,"￥4,000～￥4,999"
バルバラ ルミュウ,東京都千代田区有楽町2-5-1,3.26,44,"￥3,000～￥3,999"
ピッツェリアバール ドォーロ 神田店,東京都千代田区鍛冶町1-3-1,3.01,24,"￥3,000～￥3,999"
ピッツェリア ジオ ピッポ,東京都千代田区一ツ橋2-6-12,3.18,25,"￥3,000～￥3,999"
ラ・ベルデ 有楽町店,東京都千代田区有楽町1-10-1,3.01,63,"￥3,000～￥3,999"
イル・ヴィゴーレ 神田神保町店,東京都千代田区神田神保町1-4,3.06,20,"￥2,000～￥2,999"
PIZZA SALVATORE CUOMO 永田町,東京都千代田区永田町2-13-10,3.23,107,"￥3,000～￥3,999"
BETTOLA SANBAL,東京都千代田区神田神保町1-105,3.00,8,"￥3,000～￥3,999"
エノテカ・ドォーロ,東京都千代田区平河町1-9-3,3.53,87,"￥6,000～￥7,999"
バリッシモ 大手町店,東京都千代田区丸の内1-3-2,3.06,9,"￥2,000～￥2,999"
ピッツェリア・ドォーロ 麹町店,東京都千代田区麹町4-3-10,3.41,55,"￥5,000～￥5,999"
GOOD CHEESE GOOD PIZZA,東京都千代田区有楽町1-1-2,3.06,12,"￥3,000～￥3,999"
ぴえもん,東京都千代田区九段北1-4-4,3.42,73,"￥2,000～￥2,999"
PIZZA BAR 裏秋葉原,東京都千代田区神田佐久間町2-24,3.19,33,"￥3,000～￥3,999"
だん家 東京海上日動本館店,東京都千代田区丸の内1-2-1,3.00,7,"￥2,000～￥2,999"
A16 TOKYO,東京都千代田区丸の内2-6-1,3.54,207,"￥4,000～￥4,999"
ビストロ ピン,東京都千代田区神田駿河台2-10-8,3.27,13,"￥3,000～￥3,999"
Nonnki PASTAYA,東京都千代田区神田和泉町1-9-3,3.01,14,"￥2,000～￥2,999"
秋葉原アンチョビ,東京都千代田区神田佐久間町3-26,3.12,12,"￥3,000～￥3,999"
コルティブォーノ 東京,東京都千代田区有楽町2-7-1,3.51,109,"￥3,000～￥3,999"
バー ラッシュ,東京都千代田区飯田橋4-2-6,-, - ,-
マイアミガーデン 水道橋西口店,東京都千代田区三崎町3-7-13,3.01,12,"￥3,000～￥3,999"
アンジェリー フレスカ,東京都千代田区外神田1-15-2,3.01,47, ～￥999
プッチー 九段下店,東京都千代田区神田神保町3-6-6,3.06,6,"￥4,000～￥4,999"
No.4,東京都千代田区四番町5-9,3.58,143, ～￥999
ピッツェリア マルデナポリ ヨドバシAKIBA店,東京都千代田区神田花岡町1-1,3.06,15,"￥1,000～￥1,999"
バリッシモ 有楽町イトシア,東京都千代田区有楽町2-7-1,3.14,79, ～￥999
秋葉原500バル,東京都千代田区神田佐久間町2-8-1,3.05,8,"￥2,000～￥2,999"
ドミノピザ 淡路町店,東京都千代田区神田小川町1-11,-, - ,-
ピッツェリア ピアット,東京都千代田区飯田橋3-10-9,-,1,-
マキタ,東京都千代田区外神田2-10-6,3.43,19,-
ピッツァ ナポレターノ カフェ 御茶ノ水店,東京都千代田区神田小川町3-20-4,3.03,11, ～￥999
ワイン処Oasi,東京都千代田区三崎町2-21-9,3.17,15,"￥4,000～￥4,999"
レストランマルシャン,東京都千代田区神田須田町1-17,3.01,9,"￥6,000～￥7,999"
金の蔵 秋葉原中央口店,東京都千代田区神田相生町1,3.00,4,"￥2,000～￥2,999"
ナポリの下町食堂 お茶の水店,東京都千代田区神田駿河台2-1-45,3.01,57,"￥2,000～￥2,999"
La Fiesta,東京都千代田区九段南2-2-8,3.01,10, ～￥999
BAR Bress A 淡路町店,東京都千代田区神田淡路町2-4-4,-, - ,"￥4,000～￥4,999"
A!TON,東京都千代田区麹町4-5-10,3.05,5,-
だん家 市ヶ谷店,東京都千代田区五番町4-2,3.02,1,"￥2,000～￥2,999"
金の蔵 秋葉原昭和通り店,東京都千代田区神田佐久間町1-24,3.00,2,"￥2,000～￥2,999"
ピッツェリア ルミーノ,東京都千代田区麹町3-7-9,3.06,16,"￥4,000～￥4,999"
マイアミ・ヴィッラ 有楽町イトシアプラザ店,東京都千代田区有楽町2-7-1,3.00,45, ～￥999
マイアミヴィッラ 東京駅グランルーフフロント店,東京都千代田区丸の内1-9-1,3.05,7,"￥1,000～￥1,999"
ダ・ボッチャーノ KITTE丸の内,東京都千代田区丸の内2-7-2,3.51,84,"￥3,000～￥3,999"
ディアンドウ,東京都千代田区神田北乗物町16,3.01,11,"￥4,000～￥4,999"
ラッツダイニング 水道橋店,東京都千代田区三崎町3-2-12,3.03,9,"￥2,000～￥2,999"
フラット,東京都千代田区神田駿河台3-5-8,3.00,2,-
バーアンドダーツ 豚蜂,東京都千代田区外神田5-2-3,-, - ,-
金の蔵 有楽町店,東京都千代田区有楽町2-3-5,-, - ,"￥2,000～￥2,999"
