Name,Address,Score,Reviews,Budget
ハチョボリーノ,東京都中央区八丁堀3-17-16,3.02,4,"￥3,000～￥3,999"
ベルニーニ 東京,東京都中央区銀座2-11-13,3.18,54,"￥5,000～￥5,999"
テゾーロ,東京都中央区日本橋大伝馬町11-12,3.08,11,"￥4,000～￥4,999"
ボッソ 八重洲店,東京都中央区八重洲1-4-16,3.46,35,"￥4,000～￥4,999"
Bar&Grill G7,東京都中央区銀座7-2-22,3.14,46,"￥4,000～￥4,999"
ラ セコンダメーラ,東京都中央区日本橋人形町1-11-7,3.17,26,"￥3,000～￥3,999"
オアシスバー 水天宮店,東京都中央区日本橋蛎殻町1-26-9,3.02,7,"￥2,000～￥2,999"
ケ  ヴォーリア！,東京都中央区日本橋室町2-2-1,3.31,99,"￥3,000～￥3,999"
otto,東京都中央区八丁堀2-26-6,3.39,21,"￥3,000～￥3,999"
トラットリア リアナ 銀座みゆき通り店,東京都中央区銀座5-10-6,3.08,51,"￥3,000～￥3,999"
カヤバッチョ,東京都中央区日本橋茅場町2-7-3,3.07,32,"￥4,000～￥4,999"
ビア＆ワイン グリル銀座ライオン 銀座七丁目店,東京都中央区銀座7-9-20,3.20,25,"￥3,000～￥3,999"
八重洲バル ヴェルデ,東京都中央区八重洲1-7-12,3.06,17,"￥3,000～￥3,999"
トラットリア　オルトレ,東京都中央区日本橋人形町1-4-10,3.18,13,"￥3,000～￥3,999"
ピッツェリア　イル　ビアンコ,東京都中央区銀座2-13-6,3.06,29,"￥3,000～￥3,999"
肉のヒマラヤ by ポルコロ 築地店,東京都中央区新富2-13-2,3.10,23,"￥4,000～￥4,999"
トラットリア＆ピッツァ バルレッタ 銀座7丁目店,東京都中央区銀座7-2-8,3.07,14,"￥4,000～￥4,999"
タヴェルナ・マルコポーロ,東京都中央区日本橋久松町9-8,3.20,7,"￥5,000～￥5,999"
ゼックス　日本橋 サルヴァトーレ クオモ ブロス,東京都中央区日本橋室町2丁目4-3,3.16,54,"￥6,000～￥7,999"
ピッツェリア ダ チーボ コレド日本橋店,東京都中央区日本橋1-4-1,3.12,70,"￥2,000～￥2,999"
イゾリーナ,東京都中央区銀座6-7-6,3.51,91,"￥5,000～￥5,999"
