Name,Address,Score,Reviews,Budget
ZUZU,東京都板橋区徳丸3-15-2,3.57,64,"￥3,000～￥3,999"
BRIOACE,東京都板橋区成増1-28-14,3.05,8,"￥3,000～￥3,999"
Felicita,東京都板橋区相生町8-3,3.04,5,"￥2,000～￥2,999"
サンドリアン,東京都板橋区赤塚3-29-27,-, - ,-
ママノ ピザ 大山店,東京都板橋区大山東町24-17,-,2,-
ピザダーノ 板橋本町店,東京都板橋区本町12-2,3.03,2,"￥1,000～￥1,999"
オンザロード,東京都板橋区南常盤台2-16-12,3.03,1,"￥1,000～￥1,999"
ぱっくん,東京都板橋区蓮根2-19-17,3.00,2,"￥1,000～￥1,999"
月,東京都板橋区仲町38-6,-,2,"￥2,000～￥2,999"
ベルペイ,東京都板橋区徳丸7-24-13,3.00,1,"￥1,000～￥1,999"
ピザハット 下赤塚店,東京都板橋区赤塚新町1-25-5,-,2,"￥1,000～￥1,999"
Mojah大山,東京都板橋区大山東町28-2,-,3,"￥2,000～￥2,999"
PIZZERIA　TATSU,東京都板橋区仲宿52-18,3.04,9,"￥1,000～￥1,999"
イタリアごはんとおやつ クラリ,東京都板橋区赤塚2-9-12,3.08,15,"￥3,000～￥3,999"
ピアンタ 仲宿店,東京都板橋区板橋3-10-5,3.06,19,"￥2,000～￥2,999"
ドミノピザ 中台店,東京都板橋区中台3-3-7,3.01,1,-
ピザハット 高島平店,東京都板橋区高島平1-3-15,3.00,1,"￥1,000～￥1,999"
ジョリーパスタ 高島平店,東京都板橋区高島平3-3-7,3.02,4,-
ビストロ スイレン,東京都板橋区清水町79-8,3.03,5,"￥2,000～￥2,999"
オステリア　ピッカンテ　ウノ,東京都板橋区徳丸2-7-3,3.09,17,"￥2,000～￥2,999"
ピッツアソリデラ イオンスタイル板橋前野町店,東京都板橋区前野町4-21-22,3.02,2,-
ナポリの窯 大山店,東京都板橋区大山東町9-5,3.01,2,-
ピザ･パスタ･ワインバル 三井,東京都板橋区高島平1-30-12,3.03,6,"￥2,000～￥2,999"
カプリチョーザ イオン板橋ショッピングセンター店,東京都板橋区徳丸2-6-1,3.02,16,"￥1,000～￥1,999"
ドミノピザ 赤塚店,東京都板橋区赤塚7-5-3,-,1,"￥1,000～￥1,999"
レストラン 木曜館,東京都板橋区南常盤台1-3-7,3.00,4,-
ドミノピザ 高島平店,東京都板橋区高島平1-7-6,-, - ,-
ピッツェリア ローロ,東京都板橋区大山東町60-4,3.04,16,"￥3,000～￥3,999"
マルジュー　ピッツァ,東京都板橋区仲宿60-16,3.05,4,-
蔦や,東京都板橋区大山町10-8,3.05,2,"￥2,000～￥2,999"
