Name,Address,Score,Reviews,Budget
窯焼きピザとワインのお店 ROMAE 炉前,東京都葛飾区新小岩1-29-7,3.09,25,"￥3,000～￥3,999"
ドミノ・ピザ お花茶屋店,東京都葛飾区白鳥3-13-12,-,1,-
ノンナ 青戸店,東京都葛飾区青戸3-41-12,3.02,6,"￥1,000～￥1,999"
ピッツェリア ダ タサキ,東京都葛飾区金町6-11-1,3.50,33,"￥3,000～￥3,999"
パルメナーラ アリオ亀有店,東京都葛飾区亀有3-49-3,3.00,5, ～￥999
ピザハット 高砂店,東京都葛飾区細田4-22-15,3.00,1,-
トラットリア た喜ち 高砂店,東京都葛飾区高砂5-46-3,3.09,8,"￥3,000～￥3,999"
ラ・タヴォラ・ディ・オーヴェルニュ,東京都葛飾区細田5-9-15,3.39,34, ～￥999
ドミノ・ピザ 金町店,東京都葛飾区金町3-20-10,-,1,-
Pizzeria luna e Dolce,東京都葛飾区柴又7-1-10,3.50,35,"￥2,000～￥2,999"
クーラ　ダイニング,東京都葛飾区お花茶屋1-19-17,3.02,3,"￥1,000～￥1,999"
ピザーラ 柴又店,東京都葛飾区柴又6-1-3,-, - ,-
ジョリーパスタ 葛飾新宿店,東京都葛飾区新宿3丁目21-11,3.02,5,-
matilda,東京都葛飾区お花茶屋1-12-13,-,1,-
ピザハット 金町店,東京都葛飾区東金町4-23-9,3.02,3,"￥2,000～￥2,999"
カフェ ガーデン,東京都葛飾区立石6丁目18-2,3.16,15,-
JUN'S PIZZA,東京都葛飾区亀有4-25-11,3.03,7,"￥2,000～￥2,999"
ボレロ Tia blanca支店,東京都葛飾区亀有3-21-11,-,2,"￥4,000～￥4,999"
ジョリーパスタ 新小岩店,東京都葛飾区西新小岩5-25-16,3.00,4,-
歩庵‎,東京都葛飾区金町5-13-7,3.06,7,"￥2,000～￥2,999"
プテカ,東京都葛飾区青戸3-32-4,3.14,18,"￥4,000～￥4,999"
バッカス,東京都葛飾区お花茶屋1-26-4,3.05,6,"￥2,000～￥2,999"
PIZZA酒場Rocco,東京都葛飾区立石4-26-2,3.05,2,"￥1,000～￥1,999"
