Name,Address,Score,Reviews,Budget
イタリアンダイニングDONA ビーンズ赤羽店,東京都北区赤羽1-1-1,3.05,4,"￥1,000～￥1,999"
トムボーイカフェ 十条本店,東京都北区上十条1-11-10,3.06,38,"￥3,000～￥3,999"
baroom,東京都北区滝野川7-3-8,-,2,"￥3,000～￥3,999"
バリバリ鶏 赤羽駅前店,東京都北区赤羽1-16-2,3.01,3,"￥2,000～￥2,999"
Trattoria Salice ,東京都北区赤羽1-49-8,3.08,8,"￥3,000～￥3,999"
金の蔵 赤羽駅前店,東京都北区赤羽1-14-1,-, - ,"￥2,000～￥2,999"
ペンナロッソ,東京都北区赤羽南1-4-9,3.02,18,"￥2,000～￥2,999"
ピッツェリア　アルベリ,東京都北区王子1-23-3,3.05,7,"￥2,000～￥2,999"
ラッコズ ニューヨークスタイルピザ,東京都北区王子本町1-1-24,3.07,24,"￥1,000～￥1,999"
エルバ,東京都北区田端3-8-3,3.05,16,"￥5,000～￥5,999"
赤バル レッツェ 赤羽店,東京都北区赤羽1-12-4,3.33,61,"￥3,000～￥3,999"
ナポリの窯 田端店,東京都北区田端新町2-9-5,3.00,1,-
Bar＋Food Bounce 十条店,東京都北区上十条2-23-2,-, - ,-
泡Awa de PIZZA,東京都北区上十条3-24-1,-,3,"￥2,000～￥2,999"
５感　小皿イタリアン＆ワイン 赤羽店,東京都北区赤羽南1-5-7,3.10,12,"￥2,000～￥2,999"
ジョリーパスタ 十条店,東京都北区上十条2-13-1,3.03,6, ～￥999
カプリカフェ アトレヴィ田端店,東京都北区東田端1-17-2,3.06,32,"￥2,000～￥2,999"
ピザーラ 東十条店,東京都北区東十条1-4-4,3.02,2,"￥1,000～￥1,999"
