Name,Address,Score,Reviews,Budget
Trattoria&Pizzeria LOGIC 豊洲,東京都江東区豊洲2-4-9,3.06,38,"￥3,000～￥3,999"
イタリアンダイニングドナ イオン東雲店,東京都江東区東雲1-9-10,3.02,1,"￥1,000～￥1,999"
PIZZA SALVATORE CUOMO 豊洲,東京都江東区豊洲3-3-9,3.12,73,"￥3,000～￥3,999"
ミーファ フットボール カフェ,東京都江東区豊洲6-1-23,3.05,4,"￥1,000～￥1,999"
ポポラマーマ 門前仲町店,東京都江東区富岡1-7-6,3.03,17, ～￥999
ピザーラ エクスプレス キッザニア東京店,東京都江東区豊洲2-4-9,3.07,20, ～￥999
ナポリの窯 大島店,東京都江東区大島1-30-4,3.01,3,"￥2,000～￥2,999"
リンシエメ,東京都江東区亀戸1-31-7,3.56,43,"￥3,000～￥3,999"
パリアッチョ 深川ギャザリア店,東京都江東区木場1-5-10,3.07,15,"￥3,000～￥3,999"
アットトウキョウ グリル ハーバー,東京都江東区豊洲2-4-9,3.07,19,"￥2,000～￥2,999"
TRATTORIA Liana イーストネット東陽町店,東京都江東区東陽7-1-1,3.05,11,"￥3,000～￥3,999"
クレメンティア,東京都江東区東陽1-11-2,3.56,130,"￥5,000～￥5,999"
ピザーラ 有明,東京都江東区東雲1-8-3,-,1,"￥2,000～￥2,999"
レッドウッドピザ,東京都江東区住吉2-24,3.22,7,"￥2,000～￥2,999"
ドミノ・ピザ 東陽一丁目店,東京都江東区東陽1-16-14,3.02,3,"￥1,000～￥1,999"
リトリート 亀戸,東京都江東区亀戸5-2-1,-, - ,-
ピッツェリア メリ プリンチペッサ 豊洲店,東京都江東区豊洲3-6-8,3.03,8,"￥2,000～￥2,999"
センプレ ピッツァ アトレ亀戸店,東京都江東区亀戸5-1-1,3.05,10,"￥1,000～￥1,999"
いたり家 門前仲町店,東京都江東区門前仲町2-9-1,3.06,30,"￥2,000～￥2,999"
ピザポケット 南砂町店,東京都江東区南砂4-2-15,3.03,4,"￥5,000～￥5,999"
ビアンコ,東京都江東区住吉1-15-10,3.05,3,"￥1,000～￥1,999"
とんかつ とんとん,東京都江東区常盤1-11-1,3.07,14,"￥1,000～￥1,999"
リアナパデッラ 東陽町店,東京都江東区南砂2-1-12,3.08,37,"￥3,000～￥3,999"
パパスグリル,東京都江東区北砂7-5-14,3.09,9, ～￥999
ディデアン,東京都江東区富岡1-15-3,3.55,92,"￥2,000～￥2,999"
イタリア料理レストラン ジョルノッテ,東京都江東区亀戸2-27-12,3.52,19,"￥3,000～￥3,999"
ポポラマーマ アリオ北砂店,東京都江東区北砂2-17-1,3.02,10, ～￥999
ピザーラ  清澄店,東京都江東区富岡2丁目11-9,3.01,4,"￥1,000～￥1,999"
モンナカーノ,東京都江東区富岡1-14-14,3.27,21,"￥3,000～￥3,999"
カフェ・ド・ポコ,東京都江東区亀戸6-33-1,3.04,4,-
ミア ボッカ SUNAMO 南砂町店,東京都江東区新砂3-4-31,3.15,23,"￥2,000～￥2,999"
ピッツェリア ドォーロ ローマ 台場店,東京都江東区青海1-1-10,3.08,16,"￥2,000～￥2,999"
マンマパスタバオバブ 東大島店,東京都江東区亀戸9-2-9,3.08,51,"￥2,000～￥2,999"
ベッラ・ナポリ,東京都江東区高橋9-3,3.67,198,"￥4,000～￥4,999"
Rym!,東京都江東区大島5-8-7,3.03,13,"￥1,000～￥1,999"
ピッツェリア グランデ バッボ,東京都江東区亀戸2-7-8,3.53,19,"￥1,000～￥1,999"
