Name,Address,Score,Reviews,Budget
おやっとさぁ 田町店,東京都港区芝浦3-7-9,3.03,10,"￥3,000～￥3,999"
レストラン マルタ,東京都港区新橋2-9-17,3.47,22,"￥3,000～￥3,999"
B612,東京都港区西麻布1-4-10,-, - ,"￥2,000～￥2,999"
キング オブ ジェーポップ,東京都港区新橋4-14-1,3.02,2,"￥2,000～￥2,999"
エッセドゥエ,東京都港区赤坂6-11-13,3.58,133,"￥4,000～￥4,999"
ぶどう酒食堂さくら,東京都港区六本木6-1-12,3.56,255,"￥4,000～￥4,999"
旬采,東京都港区六本木7-17-12,3.54,57,"￥4,000～￥4,999"
ピッツェリア ロマーナ ジャニコロ,東京都港区麻布十番2-8-8,3.58,61,"￥5,000～￥5,999"
リストランテ ピッツェリア ジャンカルロ Tokyo,東京都港区麻布台3-4-14,3.66,25,"￥8,000～￥9,999"
ピッザニア,東京都港区六本木2-3-7,3.06,14,"￥2,000～￥2,999"
Trattoria&Pizzeria LOGIC お台場,東京都港区台場1-6-1,3.07,14,"￥3,000～￥3,999"
Trattoria e Pizzeria De salita 赤坂,東京都港区赤坂3-10-17,3.42,39,"￥4,000～￥4,999"
アップステアーズ,東京都港区六本木7-3-10,3.55,94,"￥4,000～￥4,999"
インコントロ オステリア&グリル,東京都港区台場2-6-1,3.30,25,"￥6,000～￥7,999"
ガストンアンドギャスパー,東京都港区六本木7-4-4,3.20,145,"￥3,000～￥3,999"
俺のイタリアン 新橋赤レンガ通,東京都港区新橋3-6-8,3.22,20,"￥3,000～￥3,999"
バルケッタ 大門店,東京都港区浜松町1-18-11,3.06,15,"￥4,000～￥4,999"
トゥー・ドッグス・タップルーム,東京都港区六本木3-15-24,3.17,23,"￥3,000～￥3,999"
DRUNK BEARS ペディ汐留店,東京都港区東新橋1-9-1,3.10,12,"￥2,000～￥2,999"
イタリアン＆ワインバー CONA 六本木店,東京都港区六本木6-7-7,3.06,20,"￥3,000～￥3,999"
CONA 麻布十番店,東京都港区麻布十番1-5-26,3.11,28,"￥2,000～￥2,999"
アリアニコ,東京都港区芝浦3-14-2,3.08,29,"￥3,000～￥3,999"
ピッツェリア マルーモ 赤坂店,東京都港区赤坂3-8-14,3.08,60,"￥2,000～￥2,999"
ラ･ベファーナ 汐留,東京都港区東新橋1-8-2,3.32,73,"￥3,000～￥3,999"
PIZZAMAN TOKYO,東京都港区港南2-18-1,3.00,46,"￥2,000～￥2,999"
ターキッシュキッチン,東京都港区赤坂2-8-13,3.27,21,"￥4,000～￥4,999"
Pizzeria Bar Trico,東京都港区新橋5-12-7,3.31,30,"￥2,000～￥2,999"
ブリアンツァ6.1,東京都港区六本木1-4-5,3.58,43,"￥3,000～￥3,999"
トスカーナ 神谷町店,東京都港区虎ノ門4-3-1,3.08,42,"￥3,000～￥3,999"
PIZZA SALVATORE CUOMO 白金,東京都港区三田5-1-21,3.24,99,"￥3,000～￥3,999"
ピッツァ サルヴァトーレ クオモ 西麻布,東京都港区西麻布4-10-5,3.06,24,"￥3,000～￥3,999"
エノテカ ドォーロ オンニ ジョルノ,東京都港区芝浦1-1-1,3.25,26,"￥4,000～￥4,999"
ピッツェリア・ドォーロ 新橋店,東京都港区新橋5-18-1,3.52,87,"￥5,000～￥5,999"
オービカ モッツァレラバー 東京ミッドタウン店,東京都港区赤坂9-7-2,3.15,47,"￥2,000～￥2,999"
カフェ ラ・ボエム 白金,東京都港区白金台4-19-17,3.30,205,"￥3,000～￥3,999"
トラットリア・イタリア 品川店,東京都港区港南2-15-2,3.52,77,"￥3,000～￥3,999"
イルリトローボ,東京都港区六本木6-4-1,3.54,168,"￥3,000～￥3,999"
アントニオ 南青山本店,東京都港区南青山7-3-6,3.69,184,"￥8,000～￥9,999"
毛利 Salvatore Cuomo,東京都港区六本木6-10-1,3.22,136,"￥6,000～￥7,999"
カフェ ラ・ボエム 北青山,東京都港区北青山3-6-25,3.07,67,"￥4,000～￥4,999"
サライ 赤坂店,東京都港区赤坂2-13-23,3.24,47,"￥4,000～￥4,999"
イタリアーナ エノテカ ドォーロ,東京都港区海岸1-2-20,3.58,105,"￥5,000～￥5,999"
俺のイタリアン KAMIYACHO,東京都港区虎ノ門5-13-1,3.58,157,"￥3,000～￥3,999"
SALVATORE CUOMO & BAR 白金台,東京都港区白金1-29-9,3.00,29,"￥3,000～￥3,999"
オービカ モッツァレラ バー 六本木ヒルズ店,東京都港区六本木6-4-1,-, - ,"￥5,000～￥5,999"
24,東京都港区高輪4-10-30,3.35,45,"￥1,000～￥1,999"
オービカ モッツァレラバー 高輪店,東京都港区高輪4-10-18,3.04,3,"￥4,000～￥4,999"
ピッツェリア・トラットリア ナプレ 南青山店,東京都港区南青山5-6-24,3.58,540,"￥6,000～￥7,999"
ピッツェリア・トラットリア ナプレ 東京ミッドタウン店,東京都港区赤坂9-7-4,3.59,375,"￥6,000～￥7,999"
ニコラス 新橋店,東京都港区新橋3-16-2,3.24,58,"￥4,000～￥4,999"
パッパーレナポリ 品川店,東京都港区港南2-3-13,3.50,83,"￥4,000～￥4,999"
ピッツェリア・ギタロー 赤坂店,東京都港区赤坂7-10-7,3.48,32,"￥6,000～￥7,999"
ア・レガ,東京都港区白金台3-18-5,3.05,4, ～￥999
トリプルトゥエンティ,東京都港区六本木5-16-5,-,2,"￥2,000～￥2,999"
赤坂アンチョビ,東京都港区赤坂2-17-72,3.05,9,"￥3,000～￥3,999"
グラン・パ 六本木店,東京都港区六本木3-1-1,3.00,6,"￥2,000～￥2,999"
バー・ソシエ　Bar Socie,東京都港区芝浦3-14-2,3.06,11,"￥4,000～￥4,999"
ラ・パウザ 青山一丁目店,東京都港区南青山1-1-1,3.02,28,"￥1,000～￥1,999"
ペッシェドーロ お台場店,東京都港区台場1-7-1,3.09,59,"￥3,000～￥3,999"
ポポラート,東京都港区赤坂3-9-12,3.12,18,"￥3,000～￥3,999"
ピッツァ　ストラーダ ,東京都港区麻布十番3-6-2,3.58,94,"￥3,000～￥3,999"
芝倶楽部 フリーゾーン,東京都港区芝5-21-7,3.23,6,"￥1,000～￥1,999"
