Name,Address,Score,Reviews,Budget
Trattoria&Pizzeria LOGIC 中野,東京都中野区中野5-65-5,3.06,27,"￥3,000～￥3,999"
イタリアン＆ワインバー CONA 中野店,東京都中野区中野5-58-5,3.00,12,"￥2,000～￥2,999"
ピッツェリア クッチーナ ナプリモ 中野店,東京都中野区中野5-60-2,3.05,4,"￥3,000～￥3,999"
南欧酒場 キャーロ,東京都中野区中野5-63-5,3.00,4,"￥2,000～￥2,999"
イタリアンダイニングDONA 中野坂上店,東京都中野区本町2-46-1,3.03,5,"￥3,000～￥3,999"
グラン・パ 中野北口2号店,東京都中野区中野4-6-10,3.06,20,"￥2,000～￥2,999"
ボナペティートパパ 中野店,東京都中野区中野5-56-10,3.44,84,"￥3,000～￥3,999"
パステルイタリアーナ 中野,東京都中野区中野3-34-27,3.04,5,"￥1,000～￥1,999"
ピアンタ 中野南口店,東京都中野区中野2-29-15,-,1,"￥3,000～￥3,999"
イタリア大衆酒場　アドリアーノ,東京都中野区中野5-54-3,3.00,7,"￥2,000～￥2,999"
アンクル ジョー,東京都中野区松が丘1-2-20,3.00,2,"￥1,000～￥1,999"
CASA,東京都中野区中野5-53-10,3.00,1,"￥1,000～￥1,999"
空の穴,東京都中野区沼袋3-28-10,3.02,12,"￥3,000～￥3,999"
Liel,東京都中野区沼袋1-36-1,3.05,7,"￥2,000～￥2,999"
ダンブラウン サミット東中野店,東京都中野区東中野4-5-10,3.03,1, ～￥999
ピザーラ 環七野方店,東京都中野区大和町1-13-9,3.00,1,-
グラッチェガーデンズ 東中野店,東京都中野区東中野4-30-6,3.03,16,"￥1,000～￥1,999"
ひげおやじの店パドレマスターチ,東京都中野区江古田4-36-3,3.05,14,"￥4,000～￥4,999"
ピッツェリア チーロ 東中野店 ,東京都中野区東中野3-8-3,3.58,131,"￥1,000～￥1,999"
イタリアンBBQ　Wistaria,東京都中野区中野5-47-3,3.05,8,"￥4,000～￥4,999"
トラットリア ジュリエーゼ ダ エンメ,東京都中野区鷺宮3-33-4,3.06,3,"￥4,000～￥4,999"
ピッツァ エ バル ピッコロ ツムム,東京都中野区本町4-44-25,3.04,1,"￥3,000～￥3,999"
ママス ピッツァ,東京都中野区松が丘1-2-20,-,1, ～￥999
モグ カフェ,東京都中野区本町4-38-10,3.04,2, ～￥999
ピザダーノ 東中野店,東京都中野区東中野1-54-8,3.00,3, ～￥999
アンクール,東京都中野区東中野2-20-11,-,1,-
ラジャ ヴェッタ 中野店,東京都中野区大和町1-7-14,-,1,"￥1,000～￥1,999"
ドミノピザ 中野新橋店,東京都中野区弥生町2-5-5,-, - ,-
クスクスとピザとワインのお店 セットグー,東京都中野区中野5-53-10,3.06,4,"￥2,000～￥2,999"
ポモ・ドーロ,東京都中野区松が丘1-32-11,3.15,5,"￥4,000～￥4,999"
コルニーチェ,東京都中野区弥生町2-19-16,3.03,8,"￥1,000～￥1,999"
