Name,Address,Score,Reviews,Budget
ピッツェリア　ジターリア　ダ　フィリッポ 石神井公園,東京都練馬区石神井町2-13-5,3.75,73,"￥3,000～￥3,999"
ミアボッカ  エミオ石神井公園店,東京都練馬区石神井町4-1-17,3.10,26,"￥2,000～￥2,999"
グラッチェガーデンズ 練馬土支田店,東京都練馬区土支田3-27-22,3.06,11,"￥1,000～￥1,999"
ピザハウス カルダモン,東京都練馬区氷川台4-51-19,3.01,17,"￥1,000～￥1,999"
気楽な器,東京都練馬区中村2-14-12,3.02,3,"￥2,000～￥2,999"
センプレ ピッツァ 石神井公園店,東京都練馬区石神井町3-23-15,3.07,3,-
ピザダイニング アカシ,東京都練馬区練馬1-2-1,3.00,1, ～￥999
無国籍バル KAIKYO 大泉学園店,東京都練馬区東大泉1-30-15,3.05,5,"￥3,000～￥3,999"
アップマーケット,東京都練馬区豊玉中2-28-6,-, - ,-
ピザダーノ 中村橋店,東京都練馬区中村3-23-11,-, - ,-
トラットリア ナティーボ,東京都練馬区田柄1-3-20,3.58,46,"￥4,000～￥4,999"
石窯工房神戸屋 成増店,東京都練馬区旭町3-35-3,3.09,13,-
pizzeriaPERNO,東京都練馬区小竹町1-58-2,3.04,6,"￥2,000～￥2,999"
ピザ・ダーノ 東武練馬店,東京都練馬区北町3-2-12,3.01,2,"￥1,000～￥1,999"
窯蔵,東京都練馬区豊玉北5-5-4,3.51,50,"￥2,000～￥2,999"
石神井カフェ グルニエ,東京都練馬区石神井町3-27-4,3.03,3,"￥1,000～￥1,999"
ナポリの窯 練馬店,東京都練馬区中村3-18-9,3.01,4, ～￥999
ピッコロ ピアッツァ,東京都練馬区石神井町3-18-5,3.02,5,"￥4,000～￥4,999"
ボーノ!,東京都練馬区富士見台2-18-8,3.00,5,"￥3,000～￥3,999"
南欧料理 ラ　Donna,東京都練馬区石神井台4-7-2,3.05,6,"￥5,000～￥5,999"
オステリアエンメ,東京都練馬区石神井町2-9-15,3.51,19,"￥5,000～￥5,999"
ピザダーノ 上石神井店,東京都練馬区上石神井4-10-39,-,1,"￥1,000～￥1,999"
イル・ポンテ,東京都練馬区石神井町6-32-28,3.03,16,-
CONA 江古田店,東京都練馬区旭丘1-67-6,3.07,7,"￥2,000～￥2,999"
Pizzeria＆Wine Bar Luna Lucca,東京都練馬区富士見台2-33-5,3.55,50,"￥3,000～￥3,999"
サウンドスクエア 石神井店,東京都練馬区石神井町3-27-1,-,1,"￥2,000～￥2,999"
ダ・アオキ・タッポスト,東京都練馬区早宮4-37-29,3.68,241,"￥4,000～￥4,999"
伊食工房 JYONNOBI,東京都練馬区栄町6-12,3.05,17,"￥2,000～￥2,999"
MAR-DE NAPOLI 大泉学園店,東京都練馬区大泉学園町1丁目2-9,3.30,58,"￥3,000～￥3,999"
リオーネ,東京都練馬区東大泉5-40-27,3.13,20,"￥2,000～￥2,999"
タッポスト チャオラ,東京都練馬区練馬4-15-18,3.51,87,"￥1,000～￥1,999"
ピザーラ 練馬,東京都練馬区氷川台3-25-7,3.02,5, ～￥999
ドミノ・ピザ 桜台店,東京都練馬区羽沢2-1-1,3.03,5,"￥2,000～￥2,999"
ピッターレ,東京都練馬区豊玉北5-20-3,3.04,12,"￥2,000～￥2,999"
ア ミオ アージョ,東京都練馬区大泉学園町7-15-13,3.55,71,"￥6,000～￥7,999"
Caro,東京都練馬区豊玉上2-13-11,3.07,13,"￥3,000～￥3,999"
ドミノピザ 中村橋店,東京都練馬区中村北3-10-9,3.02,3,"￥4,000～￥4,999"
ナポリの窯 吉祥寺通り店,東京都練馬区関町南3-6-10,3.03,1,"￥1,000～￥1,999"
ピッツェリア・ヴィーコロ・デル・ソーレ,東京都練馬区中村南3-12-1,3.09,21,"￥3,000～￥3,999"
サルティンボッカ,東京都練馬区早宮2-19-14,3.07,30,"￥1,000～￥1,999"
ドミノピザ 新江古田店,東京都練馬区豊玉北1-1-11,3.02,1,"￥2,000～￥2,999"
スノー グース,東京都練馬区中村北4-10-9,3.07,16,"￥4,000～￥4,999"
リングラツィオ,東京都練馬区小竹町1-55-3,-,2,"￥1,000～￥1,999"
モンマルト,東京都練馬区北町8-27-7,3.06,8,"￥1,000～￥1,999"
