Name,Address,Score,Reviews,Budget
ピッツァリーナ,東京都世田谷区北沢3-30-3,3.27,18,"￥4,000～￥4,999"
ど,東京都世田谷区三軒茶屋2-20-17,3.05,2,"￥2,000～￥2,999"
モデラート,東京都世田谷区祖師谷3-30-4,3.09,10,"￥3,000～￥3,999"
ボンジョリーナ,東京都世田谷区代沢2-36-29,3.51,38,"￥4,000～￥4,999"
CHICAMA,東京都世田谷区玉川2-24-1,3.24,18,"￥3,000～￥3,999"
ENISHI,東京都世田谷区池尻3-23-5,-, - ,"￥3,000～￥3,999"
アンティコ フォルノ,東京都世田谷区桜新町2-17-15,3.15,7,"￥3,000～￥3,999"
ルーナ ピッコラ,東京都世田谷区三軒茶屋1-20-7,3.06,20,"￥3,000～￥3,999"
ピッツェリア・トラットリア・メッシーナ,東京都世田谷区玉川3-14-9,3.16,64,"￥3,000～￥3,999"
PAPA KARA,東京都世田谷区北沢2-13-4,3.14,13,"￥3,000～￥3,999"
PIZZERIA IMOLA,東京都世田谷区奥沢3-31-9,3.50,66,"￥3,000～￥3,999"
オルガニコ,東京都世田谷区奥沢6-21-11,3.54,32,"￥5,000～￥5,999"
Italian kitchen VANSAN 祖師谷大蔵店,東京都世田谷区祖師谷3-32-3,3.23,34,"￥2,000～￥2,999"
ラ・ベファーナ 下北沢,東京都世田谷区代田5-31-3,3.42,105,"￥3,000～￥3,999"
202,東京都世田谷区経堂1-22-18,3.04,7,"￥4,000～￥4,999"
ピザ・セカンドハウス,東京都世田谷区等々力3-18-6,3.02,4,"￥3,000～￥3,999"
ドミノピザ 赤堤店,東京都世田谷区赤堤3-12-1,-, - ,-
ドミノピザ 世田谷公園店,東京都世田谷区池尻1-7-18,-, - ,-
PIZZA SALVATORE CUOMO 三軒茶屋,東京都世田谷区野沢1-35-9,3.12,24,"￥3,000～￥3,999"
SAVOY 三宿通り店,東京都世田谷区下馬1-23-13,3.59,87,"￥3,000～￥3,999"
ピザニスタセブン,東京都世田谷区太子堂4-23-4,3.06,4,"￥2,000～￥2,999"
ナポリの窯 千歳船橋店,東京都世田谷区船橋4-18-6,3.00,1,"￥1,000～￥1,999"
ウノ,東京都世田谷区梅丘1-23-5,3.02,7,"￥2,000～￥2,999"
PIZZA SALVATORE CUOMO 明大前,東京都世田谷区松原2-46,3.07,27,"￥3,000～￥3,999"
BEER&PUB WANIWANI,東京都世田谷区松原2-39-15,-,2,"￥2,000～￥2,999"
ピザスタンド ポコ 豪徳寺1丁目店,東京都世田谷区豪徳寺1-43-7,-, - ,-
ラルテ,東京都世田谷区三軒茶屋1-35-17,3.61,181,"￥5,000～￥5,999"
カフェ ラ・ボエム 世田谷,東京都世田谷区池尻1-9-11,3.01,96,"￥2,000～￥2,999"
Ann's craft beer cafe,東京都世田谷区南烏山5-32-6,3.38,5,"￥2,000～￥2,999"
プルチーノ,東京都世田谷区南烏山6-30-7,3.11,28,"￥4,000～￥4,999"
ピッツェリア トニーノ,東京都世田谷区松原3-28-10,3.44,105,"￥4,000～￥4,999"
フォルツァ ドンナ,東京都世田谷区若林1-17-3,3.02,6,"￥2,000～￥2,999"
ゲレロ,東京都世田谷区北沢3-23-23,3.33,7,"￥6,000～￥7,999"
CONA 豪徳寺店,東京都世田谷区豪徳寺1-23-14,3.00,13,"￥2,000～￥2,999"
ピッツェリア チーロ 桜新町店,東京都世田谷区桜新町1-8-9,3.58,30,"￥3,000～￥3,999"
ダ・オッジ,東京都世田谷区代沢2-29-2,3.56,47,"￥4,000～￥4,999"
アオジ ソシガヤ,東京都世田谷区祖師谷2-4-7,3.55,72,"￥4,000～￥4,999"
Vino,東京都世田谷区等々力2-18-11,3.07,4,"￥2,000～￥2,999"
Dino,東京都世田谷区南烏山5-11-3,3.23,12,"￥2,000～￥2,999"
フォレスタ,東京都世田谷区三宿1-7-6,3.04,5,"￥3,000～￥3,999"
マルデナポリ 上野毛店,東京都世田谷区中町3-30-1,3.00,28,"￥3,000～￥3,999"
焼きたてPIZZA 用賀店,東京都世田谷区用賀2-36-13,3.00,6, ～￥999
ナポリの窯 奥沢店,東京都世田谷区奥沢4-4-6,3.00,1,"￥2,000～￥2,999"
エノテカ・クラフト,東京都世田谷区南烏山5-25-4,3.18,34,"￥3,000～￥3,999"
だん家 千歳船橋店,東京都世田谷区船橋1-9-34,3.03,4,"￥2,000～￥2,999"
Pizza Stand Poco 若林店,東京都世田谷区若林4-3-12,3.05,12,"￥2,000～￥2,999"
ごえん,東京都世田谷区北沢2-14-16,3.00,5,"￥1,000～￥1,999"
ドン ピッツァ,東京都世田谷区北沢2-34-9,3.05,9,"￥2,000～￥2,999"
ジョリーパスタ 三軒茶屋店,東京都世田谷区三軒茶屋1-38-7,3.06,28,"￥1,000～￥1,999"
マルデナポリ 世田谷本店,東京都世田谷区用賀2-29-20,3.21,137,"￥3,000～￥3,999"
ジョリーパスタ 深沢店,東京都世田谷区深沢8-10-14,3.02,9,-
フリッツァ専門店 セモア  三軒茶屋,東京都世田谷区三軒茶屋1-37-1,3.42,73,"￥1,000～￥1,999"
ピザスタンド ポコ 世田谷1丁目店,東京都世田谷区世田谷1-16-24,3.04,2, ～￥999
イル ピッツァイオーロ,東京都世田谷区太子堂4-20-7,3.59,82,"￥4,000～￥4,999"
シンイチロウピッツア,東京都世田谷区三軒茶屋1-35-3,3.08,7,-
K's Dining,東京都世田谷区三軒茶屋1-37-8,3.08,14,"￥2,000～￥2,999"
オーバーテイク,東京都世田谷区代田6-7-24,3.07,9,"￥3,000～￥3,999"
イル チェーロ,東京都世田谷区松原2-41-6,3.06,14,"￥3,000～￥3,999"
ナポリスタカ 駒沢店,東京都世田谷区上馬4-5-1,3.52,40,"￥4,000～￥4,999"
OTTO,東京都世田谷区野毛1-17-11,3.12,87,"￥3,000～￥3,999"
ピッツェリア　ドォーロローマ 二子玉川店,東京都世田谷区玉川2-21-1,3.10,31,"￥2,000～￥2,999"
ナポリの窯 上馬店,東京都世田谷区上馬4-36-19,3.02,3,"￥1,000～￥1,999"
アイビアー ル サン パーム 二子玉川ライズ,東京都世田谷区玉川2-21-1,3.09,31,"￥1,000～￥1,999"
Connect Kitchen,東京都世田谷区船橋1-1-17,3.00,8,"￥2,000～￥2,999"
シェーキーズ 成城店,東京都世田谷区成城8-19-11,3.02,20,"￥1,000～￥1,999"
ワイン食堂イナセヤ マーレ,東京都世田谷区若林1-8-7,3.30,8,"￥5,000～￥5,999"
PIZZA SALVATORE CUOMO 経堂,東京都世田谷区宮坂3-1-45,3.05,18,"￥3,000～￥3,999"
