Name,Address,Score,Reviews,Budget
イルリトローボ 渋谷店,東京都渋谷区宇田川町31-1,3.50,20,"￥3,000～￥3,999"
恵比寿 ES Classico,東京都渋谷区恵比寿1-24-11,3.58,103,"￥6,000～￥7,999"
イタリアンダイニングDONA 竹下通り店,東京都渋谷区神宮前1-20-6,-,2,"￥1,000～￥1,999"
エムスポ 渋谷店,東京都渋谷区宇田川町12-3,3.07,41,"￥3,000～￥3,999"
ピッツェリア バール ナポリ 渋谷宮益坂,東京都渋谷区渋谷1-5-6,3.07,34,"￥3,000～￥3,999"
goo ITALIANO 代々木上原店,東京都渋谷区西原3-2-2,3.04,14,"￥3,000～￥3,999"
ピッツェリア メリ プリンチペッサ,東京都渋谷区円山町22-11,3.54,93,"￥2,000～￥2,999"
ミーンズ ピッツァ＆カフェバール 渋谷センター街,東京都渋谷区宇田川町21-7,3.07,34,"￥1,000～￥1,999"
ピッツァ ケベロス 明治神宮前店,東京都渋谷区神宮前6-12-4,3.64,52,"￥3,000～￥3,999"
トスカーナ 代々木店,東京都渋谷区代々木1-53-4,3.58,133,"￥3,000～￥3,999"
トラットリア・オゼール,東京都渋谷区神宮前5-50-1,3.32,31,"￥3,000～￥3,999"
Trattoria Pizzeria LOGIC フレンテ笹塚,東京都渋谷区笹塚1-47-1,3.00,8,"￥2,000～￥2,999"
ピッツェリア カンテラ,東京都渋谷区神宮前6-28-6,3.58,90,"￥3,000～￥3,999"
cafe&dining ballo ballo 渋谷,東京都渋谷区宇田川町12-18,3.06,57,"￥2,000～￥2,999"
GAB 恵比寿,東京都渋谷区恵比寿西1-13-2,3.46,43,"￥4,000～￥4,999"
レッドペッパー 恵比寿店,東京都渋谷区恵比寿1-12-5,3.38,107,"￥4,000～￥4,999"
CONA 恵比寿店,東京都渋谷区恵比寿1-6-1,3.08,89,"￥3,000～￥3,999"
ワイン酒場 ウラッチェ！,東京都渋谷区円山町7-7,3.51,60,"￥2,000～￥2,999"
#3 AOYAMA TOKYO,東京都渋谷区神宮前3-42-18,3.33,37,"￥3,000～￥3,999"
Icon,東京都渋谷区道玄坂2-23-12,3.03,19,"￥3,000～￥3,999"
ナポリマニア,東京都渋谷区渋谷2-7-13,3.53,105,"￥4,000～￥4,999"
CONA 渋谷桜丘店,東京都渋谷区桜丘町15-17,3.03,36,"￥3,000～￥3,999"
