Name,Address,Score,Reviews,Budget
ラ・ヴィレッタ 新宿店,東京都新宿区西新宿1-1-4,3.07,28,"￥2,000～￥2,999"
イタリアンダイニングドナ 新宿紀伊國屋店,東京都新宿区新宿3-17-7,-, - ,-
ザオールドステーション 新宿店,東京都新宿区新宿3-27-4,3.07,10,"￥3,000～￥3,999"
ジュリエッタ,東京都新宿区新宿3-38-1,3.03,11,"￥2,000～￥2,999"
ニコチカ,東京都新宿区新宿3-9-3,3.03,2,"￥2,000～￥2,999"
クラウディアツー,東京都新宿区新宿3-10-10,3.06,34,"￥4,000～￥4,999"
SCHMATZ 新宿3丁目,東京都新宿区新宿3-18-1,3.30,19,"￥3,000～￥3,999"
ワインバー ヌーバ,東京都新宿区西新宿7-8-11,3.16,44,"￥3,000～￥3,999"
カーサデルマーレ,東京都新宿区歌舞伎町2-28-15,3.06,5,"￥2,000～￥2,999"
ピッツォランテ スパッカ ナポリ,東京都新宿区西新宿2-6-1,3.49,166,"￥5,000～￥5,999"
碧 新宿東口駅前店,東京都新宿区新宿3-18-1,-,10,"￥3,000～￥3,999"
MEAT MARKET CONA BACCA,東京都新宿区西新宿7-16-12,-,2,"￥2,000～￥2,999"
Rize Mize 西新宿,東京都新宿区西新宿7-18-10,3.03,5,"￥3,000～￥3,999"
COPA Dining&Lounge,東京都新宿区新宿1-15-18,3.05,2,"￥3,000～￥3,999"
イル・ピッチョーネ,東京都新宿区新宿6-26-2,3.24,42,"￥4,000～￥4,999"
元祖 壁の穴 新宿西口店,東京都新宿区西新宿1-15-3,3.08,27,"￥3,000～￥3,999"
PIZZA SALVATORE CUOMO ＆ BAR 新宿,東京都新宿区西新宿1-26-2,3.07,248,"￥3,000～￥3,999"
PIZZA SALVATORE CUOMO サブナード,東京都新宿区歌舞伎町1,3.10,184,"￥3,000～￥3,999"
バリバリ鶏 高田馬場店,東京都新宿区高田馬場1-28-10,3.06,22,"￥2,000～￥2,999"
カルミネ,東京都新宿区細工町1-19,3.47,95,"￥3,000～￥3,999"
ラ・ベルデ 新宿中央店,東京都新宿区新宿3-28-13,3.09,89,"￥3,000～￥3,999"
神楽坂イタリアン 400 クワトロ チェント,東京都新宿区神楽坂4-3,3.06,8,"￥5,000～￥5,999"
グッドモーニングカフェ 早稲田店,東京都新宿区西早稲田1-9-12,3.06,27,"￥2,000～￥2,999"
クッチーナカフェ オリーヴァ,東京都新宿区大久保3-8-4,3.37,11,"￥3,000～￥3,999"
伊太利亜市場BAR,東京都新宿区新宿3-14-25,3.09,65,"￥3,000～￥3,999"
アンジェラ,東京都新宿区岩戸町23,3.52,62,"￥6,000～￥7,999"
エノテカピッツェリア 神楽坂スタジオーネ,東京都新宿区神楽坂3-1,3.58,142,"￥6,000～￥7,999"
ピッツァ サルヴァトーレ クオモ 四谷,東京都新宿区四谷1-24,3.15,98,"￥3,000～￥3,999"
俺のイタリアン KABUKICHO,東京都新宿区歌舞伎町1-17-5,3.43,125,"￥3,000～￥3,999"
Ｐｉｚｚａ　Ｋ,東京都新宿区新宿7-27-4,3.54,74,"￥1,000～￥1,999"
猿カフェ 新宿マルイ本館店,東京都新宿区新宿3-30-13,3.12,39,"￥2,000～￥2,999"
だん家 新宿ＮＳビル店,東京都新宿区西新宿2-4-1,3.05,9,"￥2,000～￥2,999"
PIZZERIA　CAPOLI,東京都新宿区新宿4-1-9,3.58,281,"￥3,000～￥3,999"
Pizzeria LUMEN,東京都新宿区歌舞伎町2-8-3,3.63,121,"￥5,000～￥5,999"
くろねこピッツァ,東京都新宿区西新宿1-4-7,3.04,5,"￥3,000～￥3,999"
.HAIL,東京都新宿区下落合3-18-2,3.25,8,"￥2,000～￥2,999"
イタリア食堂 ブラーボ,東京都新宿区新宿3-17-13,3.42,107,"￥3,000～￥3,999"
PIZZAバール あるぱか,東京都新宿区住吉町2-14,-,1,"￥3,000～￥3,999"
ジィオ,東京都新宿区神楽坂3-1,3.54,84,"￥5,000～￥5,999"
ピッツァナポレターノカフェ 新宿御苑前店,東京都新宿区新宿2-8-1,3.07,22,"￥1,000～￥1,999"
トミヒサ カフェ,東京都新宿区富久町17-2,3.04,9,-
シェーキーズ 新宿通り店,東京都新宿区新宿3-30-11,3.06,44,"￥1,000～￥1,999"
金の蔵 新宿歌舞伎町店,東京都新宿区歌舞伎町1-16-6,3.01,6,"￥2,000～￥2,999"
クッチーナ デル カンポ,東京都新宿区新宿6-27-14,3.00,42,"￥4,000～￥4,999"
アグロピッツェリア ダ パンダ,東京都新宿区若松町15-11,3.10,9,"￥1,000～￥1,999"
トラットリア・コリーナ・ピッコラ,東京都新宿区原町3-37,3.05,28,"￥4,000～￥4,999"
エー ピッツァ 高田馬場店,東京都新宿区高田馬場1-33-6,3.09,28,"￥2,000～￥2,999"
元祖壁の穴 新宿京王モール店,東京都新宿区西新宿1丁目,3.06,42, ～￥999
ラ・パウザ 新宿西口パレットビル店,東京都新宿区西新宿1-1-1,3.04,31,"￥1,000～￥1,999"
ダイニング クラ,東京都新宿区北新宿3-1-6,3.04,9,"￥1,000～￥1,999"
アモーレ　ミオ　イタリアーノ,東京都新宿区西新宿7-16-6,3.00,8,"￥3,000～￥3,999"
カフェ ラ・ボエム 新宿御苑,東京都新宿区新宿1-1-7,3.24,188,"￥3,000～￥3,999"
nico+,東京都新宿区新宿3-10-9,3.04,4,"￥3,000～￥3,999"
ビリー,東京都新宿区上落合2-18-11,-, - ,-
パパミラノ 新宿三井ビル店,東京都新宿区西新宿2-1-1,3.00,26,"￥3,000～￥3,999"
community house P,東京都新宿区市谷薬王寺町53-7,-, - ,-
アローズクラブ,東京都新宿区新宿1-30-8,3.01,20,"￥3,000～￥3,999"
Raja Verde 新宿店,東京都新宿区新宿1-15-18,3.00,1,-
遊食ダイニング HIRO's,東京都新宿区新宿1-31-3,-, - ,"￥4,000～￥4,999"
ラ・パウザ 新宿伊勢丹前店,東京都新宿区新宿3-4-8,3.03,28,"￥1,000～￥1,999"
"NOVE,",東京都新宿区改代町27-4,3.05,3,"￥3,000～￥3,999"
bb・q 新大久保エクスプレス店,東京都新宿区大久保2-25-2,3.09,19,"￥1,000～￥1,999"
イタリア食堂TOKABO 神楽坂店,東京都新宿区神楽坂2-2,3.01,35,"￥2,000～￥2,999"
金の蔵 新大久保店,東京都新宿区百人町2-4-2,-, - ,"￥2,000～￥2,999"
ナポリの窯 落合店,東京都新宿区西落合4-22-5,-,1,"￥2,000～￥2,999"
金の蔵 信濃町駅前店,東京都新宿区信濃町34-1,3.00,4,"￥2,000～￥2,999"
ラ・パウザ 新宿NSビル店,東京都新宿区西新宿2-4-1,3.06,55,"￥1,000～￥1,999"
金のオリーブ KUON,東京都新宿区下宮比町1-1,3.04,5,"￥3,000～￥3,999"
アル バーチョ,東京都新宿区西新宿2-4-1,3.20,34,"￥3,000～￥3,999"
楡の木,東京都新宿区左門町1-17-4,-,1,-
金の蔵 新宿通り店,東京都新宿区新宿3-18-4,-, - ,"￥2,000～￥2,999"
金の蔵 新宿三丁目店 ,東京都新宿区新宿3-6-7,3.00,3,"￥2,000～￥2,999"
マイアミガーデン 新宿西口店,東京都新宿区西新宿1-16-2,3.05,27,"￥2,000～￥2,999"
nico,東京都新宿区新宿3-10-2,3.08,24,"￥2,000～￥2,999"
Pizzeria TAKATA BOKUSYA,東京都新宿区戸塚町1-101,3.04,3,"￥3,000～￥3,999"
金の蔵 新宿西口２号店,東京都新宿区西新宿1-18-13,3.00,1,"￥2,000～￥2,999"
ピザーラエクスプレス 神宮球場店,東京都新宿区霞ヶ丘町3-1,3.08,8, ～￥999
金の蔵 新宿西口駅前店,東京都新宿区西新宿1-4-1,3.00,2,"￥2,000～￥2,999"
金の蔵 新宿西口総本店,東京都新宿区西新宿1-14-1,3.02,9,"￥2,000～￥2,999"
ラ・ボッテガ,東京都新宿区高田馬場2-6-6,3.06,21,"￥2,000～￥2,999"
イタリアンダイニングビースリー 新宿三丁目店,東京都新宿区新宿3-9-10,3.12,18,"￥3,000～￥3,999"
金の蔵 新宿東口総本店,東京都新宿区新宿3-36-12,3.00,2,"￥2,000～￥2,999"
クッキン,東京都新宿区新宿3-6-10,3.08,70,"￥3,000～￥3,999"
グランデ エス,東京都新宿区水道町1-23,3.16,13,"￥2,000～￥2,999"
金の蔵 新宿パレット店,東京都新宿区西新宿1-1-1,3.00,1,"￥2,000～￥2,999"
ロマーナ,東京都新宿区新宿1-5-6,3.06,43,"￥5,000～￥5,999"
金の蔵 西新宿店,東京都新宿区西新宿3-2-7,3.00,2,"￥2,000～￥2,999"
CONA 新宿店,東京都新宿区新宿3-11-12,3.02,94,"￥2,000～￥2,999"
