Name,Address,Score,Reviews,Budget
イタリアンダイニングDONA 高円寺店,東京都杉並区高円寺北3-22-19,3.00,3,"￥1,000～￥1,999"
レストラン ボンジョリーナ 高円寺,東京都杉並区高円寺北3-22-8,3.08,24,"￥3,000～￥3,999"
マッシモッタヴィオ,東京都杉並区永福4-4-4,3.74,287,"￥3,000～￥3,999"
Sempre Pizza 阿佐ヶ谷店,東京都杉並区阿佐谷北1-3-3,3.17,23, ～￥999
ピッツェリア バー 31,東京都杉並区西荻南3-15-13,3.06,4,"￥1,000～￥1,999"
コッカボッカ,東京都杉並区浜田山4-13-11,3.08,3,-
GINA,東京都杉並区西荻北2-26-3,3.51,28,"￥4,000～￥4,999"
ラ・ヴォーリァマッタ 荻窪店,東京都杉並区上荻1-7-1,3.51,157,"￥2,000～￥2,999"
トラットリア オロロージョ,東京都杉並区天沼3-10-14,3.07,14,"￥3,000～￥3,999"
エル・ポルテゴ,東京都杉並区高円寺南4-9-3,3.00,3,"￥3,000～￥3,999"
ワキッチョ,東京都杉並区梅里1-8-14,-, - ,-
Bistran emeu,東京都杉並区西荻北3-13-7,-, - ,"￥2,000～￥2,999"
ビリーズバーゴールドスター,東京都杉並区下井草3-41-6,-, - ,-
ピピッとアキッチョ 方南町駅前テイクアウト専門店,東京都杉並区方南2-12-21,-,2,-
Sempre Pizza 高円寺店,東京都杉並区高円寺北3-25-25,3.15,51, ～￥999
オギクボ ミオピッツァ,東京都杉並区南荻窪4-43-9,3.51,10,"￥2,000～￥2,999"
葡萄房 by ザ キャメル,東京都杉並区方南2-16-1,3.08,15,-
ピッツァ ピアッツァ,東京都杉並区浜田山2-19-8,3.08,9,"￥3,000～￥3,999"
フェルマータ,東京都杉並区永福3-56-31,3.01,3,"￥2,000～￥2,999"
阿佐ヶ谷カフェ,東京都杉並区阿佐谷南2丁目19-8,3.02,3,"￥3,000～￥3,999"
アキッチョデシカ 方南町,東京都杉並区方南2-4-30,3.06,6,"￥3,000～￥3,999"
ココ ＆ダック,東京都杉並区高井戸東2-25-7,3.05,6, ～￥999
赤いトマト,東京都杉並区阿佐谷南1-18-6,3.21,10,"￥1,000～￥1,999"
ドミノピザ 和泉環七店,東京都杉並区和泉4-40-35,3.00,3,"￥2,000～￥2,999"
ピアットロッソ 上井草店,東京都杉並区上井草3-7-2,3.11,17,"￥1,000～￥1,999"
デルチェッポ,東京都杉並区阿佐谷南1-35-18,3.10,11,-
ナポリの窯 荻窪店,東京都杉並区荻窪1-21-15,3.02,2,"￥2,000～￥2,999"
ドミノピザ 阿佐谷南店,東京都杉並区阿佐谷南1-1-7,-, - ,-
グラッチェガーデンズ 久我山駅前店,東京都杉並区久我山4丁目1-11,3.00,6, ～￥999
ピッツァフォルノカフェ ビーンズ阿佐ヶ谷店,東京都杉並区阿佐ヶ谷南2-42-1,3.02,6, ～￥999
ピッツァ ナポレターノ カフェ 新高円寺店,東京都杉並区梅里2-1-19,3.00,21,"￥1,000～￥1,999"
ダ マサ,東京都杉並区桃井4-1-2,3.31,5,"￥2,000～￥2,999"
Pizzeria SOL,東京都杉並区高円寺南2-7-2,3.53,7,"￥3,000～￥3,999"
MINAMIDO',東京都杉並区西荻北4-5-28,3.04,4,-
イル・ファーロ,東京都杉並区下井草5-11-13,3.08,16,"￥3,000～￥3,999"
ラ・ファリネッラ,東京都杉並区永福4-5-18,3.01,25,"￥3,000～￥3,999"
ラ・ピッコラ・ターヴォラ,東京都杉並区永福4-2-4,3.78,496,"￥3,000～￥3,999"
カヤバール 荻窪店,東京都杉並区荻窪5-28-12,3.03,7,"￥2,000～￥2,999"
Lupi32,東京都杉並区阿佐谷南3-32-1,3.58,18,"￥4,000～￥4,999"
クラウドナイン,東京都杉並区高円寺南2-24-23,-,2,-
ピザ スタンド ポコ 荻窪店,東京都杉並区荻窪2-30-4,3.05,4,"￥3,000～￥3,999"
マイアミガーデン 荻窪西口店,東京都杉並区上荻1-15-2,3.01,1,-
BAR365,東京都杉並区高円寺北3丁目24-8,-, - ,-
