Name,Address,Score,Reviews,Budget
フィッシュ 錦糸町店,東京都墨田区江東橋2-11-13,3.06,13,"￥3,000～￥3,999"
パラッツォ サン グスト,東京都墨田区業平1-21-7,3.17,40,"￥3,000～￥3,999"
アレグレッツア,東京都墨田区両国2-13-8,3.16,35,"￥4,000～￥4,999"
バルケッタ,東京都墨田区京島1-2-2-117,3.24,20,"￥2,000～￥2,999"
両国吉良亭,東京都墨田区両国3-23-8,3.06,19,"￥4,000～￥4,999"
ワイン食堂ジョイーレ,東京都墨田区江東橋4-29-14,3.30,28,"￥4,000～￥4,999"
TomTom 錦糸町店,東京都墨田区江東橋4-27-14,3.51,132,"￥3,000～￥3,999"
両国テラスカフェ,東京都墨田区横網1-12-21,3.25,47,"￥2,000～￥2,999"
テルツォ,東京都墨田区錦糸1-5-9,3.53,123,"￥3,000～￥3,999"
シエロイリオ　ヒガシ,東京都墨田区江東橋3-14-5,3.29,40,"￥3,000～￥3,999"
パステルイタリアーナ 丸井錦糸町店,東京都墨田区江東橋3-9-10,3.06,33,"￥2,000～￥2,999"
ベッラベーラ 錦糸町店,東京都墨田区錦糸2-2-1,3.06,36,"￥2,000～￥2,999"
バール トラットリア トムトム,東京都墨田区東向島5-3-7,3.52,71,"￥2,000～￥2,999"
ドミノピザ 東向島店,東京都墨田区東向島4-25-2,3.03,3,"￥2,000～￥2,999"
ドミノピザ 文花店,東京都墨田区文花3-16-6,-,1,"￥1,000～￥1,999"
ビアンカ,東京都墨田区横川4-6-8,3.00,1,-
カフェボンフィーノ 両国店,東京都墨田区亀沢3-22-1,3.16,10,"￥2,000～￥2,999"
ピザエイト,東京都墨田区太平4-1-5,-,1, ～￥999
ラ ピッツァ,東京都墨田区東向島5-4-10,3.04,7,"￥1,000～￥1,999"
ずっこけ,東京都墨田区墨田4-48-1,-, - ,-
ビバナポリ,東京都墨田区押上1-1-2,3.07,55,"￥3,000～￥3,999"
ナポリの窯 墨田店,東京都墨田区横川4-6-10,3.01,3,-
Miagolare,東京都墨田区両国2-17-3,3.04,4,"￥1,000～￥1,999"
８８ピザ部,東京都墨田区江東橋3-3-4,3.00,11,"￥1,000～￥1,999"
pasta & pizza  SANTINI,東京都墨田区東向島3-29-10,3.03,5,"￥1,000～￥1,999"
金の蔵 錦糸町北口店,東京都墨田区錦糸2-5-8,-,1,"￥2,000～￥2,999"
ペック,東京都墨田区向島3-26-10,-, - ,-
ピザヨッカー 墨田店,東京都墨田区文花1-1-1,3.02,3,-
カメ カフェ,東京都墨田区石原1-23-4,3.00,13, ～￥999
キッチン タニ,東京都墨田区立花4-25-1,3.06,6,"￥4,000～￥4,999"
ピッツァ サルーテリア 錦糸町店,東京都墨田区錦糸2-14-2,3.50,35,"￥1,000～￥1,999"
ドミノ・ピザ 墨田石原店,東京都墨田区石原2-11-5,-, - ,-
カトリカ,東京都墨田区東向島5丁目29-6,3.73,54,"￥2,000～￥2,999"
