Name,Address,Score,Reviews,Budget
バルピノーロ 上野,東京都台東区上野7-1-1,3.05,31,"￥3,000～￥3,999"
ラバサラ カフェアンドグリル 浅草店,東京都台東区浅草2-1-3,3.06,35,"￥3,000～￥3,999"
ピッツェリア サン グスト,東京都台東区西浅草2-26-10,3.26,46,"￥3,000～￥3,999"
立呑 写楽,東京都台東区谷中3-9-15,3.02,5,"￥1,000～￥1,999"
Didot,東京都台東区東上野3-39-7,3.14,18,"￥5,000～￥5,999"
CONA 浅草橋店,東京都台東区浅草橋1-8-6,3.02,10,"￥2,000～￥2,999"
CONA 上野店,東京都台東区上野2-12-23,3.15,58,"￥2,000～￥2,999"
イタリアンバル アクア 上野公園前店,東京都台東区上野2-14-30,3.52,75,"￥3,000～￥3,999"
上野500バル,東京都台東区上野4-9-15,3.06,22,"￥2,000～￥2,999"
SALVATORE CUOMO & BAR 浅草,東京都台東区浅草1-26-5,3.00,28,"￥2,000～￥2,999"
パステルイタリアーナ 上野マルイ店,東京都台東区上野6-15-1,3.04,9, ～￥999
フォカッチャ,東京都台東区西浅草2-12-7,3.01,22,"￥2,000～￥2,999"
ボスコ・イルキャンティ,東京都台東区東上野3-19-7,3.12,84,"￥3,000～￥3,999"
ヤネウラ,東京都台東区蔵前1-5-8,3.51,20,"￥3,000～￥3,999"
PizzaKingバンバール,東京都台東区台東4-20-12,3.11,23,"￥3,000～￥3,999"
ピアトリア,東京都台東区上野公園1-57,3.00,14,-
ブラボー 上野中央口店,東京都台東区上野7-1-1,3.00,36,"￥2,000～￥2,999"
トミーズピッツァ 松屋浅草店,東京都台東区花川戸1-4-1,-,1, ～￥999
ゑんぞ,東京都台東区浅草橋1-17-2,3.57,63,"￥2,000～￥2,999"
金の蔵Jr. 上野浅草口店,東京都台東区上野7-2-5,3.00,5,"￥3,000～￥3,999"
ピザハット 入谷店,東京都台東区松が谷4-25-10,-, - ,-
金の蔵 上野浅草口店,東京都台東区上野7-2-5,-, - ,"￥2,000～￥2,999"
くるとん,東京都台東区東上野3-21-7,3.02,8,-
ピザ屋 想兵衛,東京都台東区台東3-30-12,-,2,-
エッコエッコ,東京都台東区東上野4-10-8,3.09,70,"￥1,000～￥1,999"
ドミノ・ピザ 根岸店,東京都台東区根岸5-16-15,-, - ,-
CONA 浅草店,東京都台東区浅草2-6-14,-,2,"￥1,000～￥1,999"
ピッツエリア ボーノボーノ,東京都台東区浅草橋1-33-3,3.01,5,"￥2,000～￥2,999"
ラジャヴェッタ 上野店,東京都台東区上野7-11-10,-, - ,-
金の蔵 上野中央通り店 ,東京都台東区上野4-8-6,-, - ,"￥2,000～￥2,999"
あいつのピッツァ,東京都台東区浅草5-64-4,3.04,8, ～￥999
ネーロ&ビーノ,東京都台東区上野1-2-7,3.03,13,"￥3,000～￥3,999"
ピッコリーニ,東京都台東区浅草3-22-1,3.06,8,"￥1,000～￥1,999"
マイアミガーデン 浅草店,東京都台東区浅草1-2-1,3.01,30,"￥2,000～￥2,999"
