Name,Address,Score,Reviews,Budget
アダッキオ,東京都足立区千住東1-29-12,3.54,47,"￥2,000～￥2,999"
SALVATORE CUOMO & BAR 西新井,東京都足立区西新井栄町1-17-1,3.07,41,"￥2,000～￥2,999"
ベッラベーラ 北千住店,東京都足立区千住2-62,3.05,56,"￥3,000～￥3,999"
ピッツェリア アッローロ,東京都足立区千住旭町3-13,3.53,40,"￥2,000～￥2,999"
ワインバル  80 梅島店,東京都足立区梅島1-12-6,-,1,"￥4,000～￥4,999"
マルゲリータハウス,東京都足立区千住3-63,3.03,1,"￥2,000～￥2,999"
ピッツェリアバールカタロー,東京都足立区千住2-64,3.06,19,"￥2,000～￥2,999"
洋風酒場 中村屋,東京都足立区青井3-36-6,-,1,"￥3,000～￥3,999"
ジョリーパスタ 青井,東京都足立区一ツ家3-8-20,3.01,7,"￥1,000～￥1,999"
ピッツェリア フォルノ,東京都足立区鹿浜6-34-18,3.35,20,-
アズーリ,東京都足立区綾瀬3-6-7,3.03,1,"￥2,000～￥2,999"
カジュアルフードe,東京都足立区栗原3-30-9,3.04,7,"￥1,000～￥1,999"
ジョリーパスタ 扇店,東京都足立区扇2-27-36,3.01,11,-
パスタフローラ 綾瀬駅前店,東京都足立区綾瀬3-1-16,3.03,15,"￥1,000～￥1,999"
STELLA,東京都足立区西竹ノ塚1-12-9,3.00,9,"￥2,000～￥2,999"
ヴィアサリーチェ,東京都足立区江北7-24-15,3.01,5,-
ジョリーパスタ 千住堀切橋店,東京都足立区千住曙町21-1,3.07,6,"￥1,000～￥1,999"
ミ・カーサ,東京都足立区綾瀬,3.04,8,"￥3,000～￥3,999"
ルビーノ,東京都足立区綾瀬2-24-4,3.22,12,"￥2,000～￥2,999"
サムライカフェ ダイシ,東京都足立区西新井本町1-10-14,3.01,7,"￥2,000～￥2,999"
ドミノピザ 西新井店,東京都足立区西新井2-32-13,3.02,1, ～￥999
マンマパスタグランデ 足立島根店,東京都足立区島根2-16-11,3.05,26,"￥2,000～￥2,999"
ボンマルシェ ボンテ,東京都足立区竹の塚1-13-16,3.07,12,"￥2,000～￥2,999"
ピザハット 北綾瀬店,東京都足立区谷中4-9-15,-, - ,-
ピザハット 西新井店,東京都足立区西新井本町2-22-5,3.02,3,"￥1,000～￥1,999"
ピザーラ 鹿浜店,東京都足立区鹿浜4-27-19,-, - ,-
ドミノピザ 佐野店,東京都足立区佐野2-35-7,-, - ,-
ポポーネ,東京都足立区竹の塚1-32-3,3.01,4,-
窯ＭＡＲＵ,東京都荒川区東日暮里6-60-10,3.22,25,"￥2,000～￥2,999"
小さなピザ屋,東京都荒川区西尾久2-8-7,3.02,4,-
ドミノ ピザ 西尾久小台店,東京都荒川区西尾久2-37-2,-, - ,-
珈琲館　 町屋店,東京都荒川区町屋2-4-15,3.03,3,-
イタリアン 町屋 ウエムラ,東京都荒川区荒川7-22-6,3.13,13,"￥3,000～￥3,999"
金の蔵 日暮里駅前店,東京都荒川区西日暮里2-19-7,3.00,4,"￥2,000～￥2,999"
エレガン ザ コローナ,東京都荒川区西日暮里6-6-12,3.08,7,"￥3,000～￥3,999"
ウッディー,東京都荒川区南千住5-39-8,3.05,1,"￥3,000～￥3,999"
TOKYO MERCATO,東京都文京区後楽1-3-61,3.06,11,"￥3,000～￥3,999"
トラットリア・イタリア 文京店,東京都文京区本駒込2-28-10,3.08,35,"￥3,000～￥3,999"
ラ・クローチェ,東京都文京区小日向4-7-10,3.15,55,"￥3,000～￥3,999"
ファンタジスタ,東京都文京区湯島3-40-11,3.51,97,"￥3,000～￥3,999"
