Name,Address,Score,Reviews,Budget
イタリアンダイニングDONA 池袋ホープセンター店,東京都豊島区西池袋1-1-30,3.04,5,"￥1,000～￥1,999"
LAPLACE　SONO 池袋店,東京都豊島区東池袋2-62-10,3.17,9,"￥4,000～￥4,999"
Trattoria&Pizzeria LOGIC 池袋東口,東京都豊島区東池袋1-8-1,3.00,28,"￥3,000～￥3,999"
池袋ワイン倶楽部,東京都豊島区南池袋1-24-6,3.06,30,"￥3,000～￥3,999"
池袋 Cafe＆Dining Pecori,東京都豊島区西池袋3-25-2,3.07,76,"￥3,000～￥3,999"
Trattoria&Pizzeria LOGIC 池袋西口,東京都豊島区西池袋1-17-7,3.18,6,"￥3,000～￥3,999"
ピッツェリア バル ナプリモ 池袋店,東京都豊島区西池袋1-20-2,-,2,"￥3,000～￥3,999"
PIZZERIA　37,東京都豊島区目白2-39,3.54,30,"￥2,000～￥2,999"
グッドモーニングカフェ 池袋ルミネ店,東京都豊島区西池袋1-11-1,3.46,94,"￥3,000～￥3,999"
アミーコ ビオ エ ナプレ,東京都豊島区西池袋1-1-25,3.20,16,"￥3,000～￥3,999"
PIZZA SALVATORE CUOMO 池袋西口,東京都豊島区西池袋3-21-13,3.18,132,"￥3,000～￥3,999"
SALVATORE CUOMO ＆ BAR 池袋,東京都豊島区東池袋1-39-4,3.08,213,"￥3,000～￥3,999"
Chef Daniel's,東京都豊島区駒込3-3-16,3.06,7,"￥2,000～￥2,999"
Trattoria La Padella,東京都豊島区駒込1-16-12,3.26,11,"￥5,000～￥5,999"
PIZZA BORSA,東京都豊島区西池袋3-30-8,3.59,88,"￥2,000～￥2,999"
オステリア ヴィン カフェ,東京都豊島区東池袋1-26-4,3.17,33,"￥3,000～￥3,999"
イルキャンティ・エスト,東京都豊島区南池袋2-30-14,3.08,60,"￥3,000～￥3,999"
トラットリア コン アマーレ,東京都豊島区南池袋1-20-11,3.06,64,"￥3,000～￥3,999"
ドミノ・ピザ 高田馬場店,東京都豊島区高田3-11-14,3.01,1,"￥2,000～￥2,999"
ラ・パウザ 池袋60階通り店,東京都豊島区東池袋1-29-1,3.01,36,"￥2,000～￥2,999"
オッティモキッチン 巣鴨店,東京都豊島区巣鴨1-16-8,3.06,18,"￥2,000～￥2,999"
gab,東京都豊島区駒込1-24-8,3.06,14,"￥1,000～￥1,999"
ミリオンダラー カフェ,東京都豊島区池袋3-1-4,3.46,44,"￥3,000～￥3,999"
マイアミ ヴィッラ 池袋東武スパイス2店,東京都豊島区西池袋1-10-10,3.06,17,"￥2,000～￥2,999"
シェーキーズ 池袋東口店,東京都豊島区東池袋1-11-4,3.01,71,"￥1,000～￥1,999"
APIZZA 池袋立教通り店,東京都豊島区西池袋5-2-3,3.05,20,"￥2,000～￥2,999"
マイアミガーデン サンシャイン店,東京都豊島区東池袋3-1,3.06,20, ～￥999
エー ピッツァ 池袋西武店,東京都豊島区南池袋1-28-1,3.05,9,"￥1,000～￥1,999"
ピザハット 東長崎店,東京都豊島区長崎6-20-12,-, - ,-
ギィオットーネ,東京都豊島区西池袋3-27-12,3.32,119,"￥2,000～￥2,999"
ミラネーゼ 池袋店 ,東京都豊島区池袋2-1-1,3.06,36,"￥2,000～￥2,999"
